--------- beginning of /dev/log/main
01-07 03:11:40.216 E/wpa_supplicant(  946): CMD: PING
01-07 03:30:33.472 D/wpa_supplicant( 1065): REPLY: wpa_state=SCANNING
01-07 03:30:33.472 D/wpa_supplicant( 1065): p2p_device_address=02:09:23:20:11:aa
01-07 03:30:33.472 D/wpa_supplicant( 1065): address=00:09:23:20:11:aa
01-07 03:30:33.482 E/wpa_supplicant( 1065): CMD: DRIVER RSSI-APPROX
01-07 03:30:33.482 E/wpa_supplicant( 1065): nl80211: issue private commands RSSI-APPROX
01-07 03:30:33.482 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:30:33.482 D/wpa_supplicant( 1065): REPLY:  rssi 0
01-07 03:30:33.482 E/wpa_supplicant( 1065): CMD: DRIVER LINKSPEED
01-07 03:30:33.482 E/wpa_supplicant( 1065): nl80211: issue private commands LINKSPEED
01-07 03:30:33.482 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:30:33.482 D/wpa_supplicant( 1065): REPLY: LinkSpeed 65
01-07 03:30:33.482 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:30:33.482 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:30:33.482 E/wpa_supplicant( 1065): CMD: STATUS
01-07 03:30:33.482 D/wpa_supplicant( 1065): REPLY: wpa_state=SCANNING
01-07 03:30:33.482 D/wpa_supplicant( 1065): p2p_device_address=02:09:23:20:11:aa
01-07 03:30:33.482 D/wpa_supplicant( 1065): address=00:09:23:20:11:aa
01-07 03:30:33.482 E/wpa_supplicant( 1065): CMD: DRIVER RSSI-APPROX
01-07 03:30:33.482 E/wpa_supplicant( 1065): nl80211: issue private commands RSSI-APPROX
01-07 03:30:33.482 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:30:33.482 D/wpa_supplicant( 1065): REPLY:  rssi 0
01-07 03:30:33.482 E/wpa_supplicant( 1065): CMD: DRIVER LINKSPEED
01-07 03:30:33.482 E/wpa_supplicant( 1065): nl80211: issue private commands LINKSPEED
01-07 03:30:33.492 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:30:33.492 D/wpa_supplicant( 1065): REPLY: LinkSpeed 65
01-07 03:30:34.113 D/wpa_supplicant( 1065): nl80211: Event message available
01-07 03:30:34.113 D/wpa_supplicant( 1065): nl80211: New scan results available
01-07 03:30:34.113 D/wpa_supplicant( 1065): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:30:34.113 D/wpa_supplicant( 1065): Received scan results (16 BSSes)
01-07 03:30:34.113 D/wpa_supplicant( 1065): Add randomness: count=31 entropy=30
01-07 03:30:34.113 D/wpa_supplicant( 1065): Add randomness: count=32 entropy=31
01-07 03:30:34.113 D/wpa_supplicant( 1065): Add randomness: count=33 entropy=32
01-07 03:30:34.113 D/wpa_supplicant( 1065): Add randomness: count=34 entropy=33
01-07 03:30:34.113 D/wpa_supplicant( 1065): Add randomness: count=35 entropy=34
01-07 03:30:34.113 D/wpa_supplicant( 1065): Add randomness: count=36 entropy=35
01-07 03:30:34.113 D/wpa_supplicant( 1065): Add randomness: count=37 entropy=36
01-07 03:30:34.113 D/wpa_supplicant( 1065): Add randomness: count=38 entropy=37
01-07 03:30:34.113 D/wpa_supplicant( 1065): Add randomness: count=39 entropy=38
01-07 03:30:34.113 D/wpa_supplicant( 1065): Add randomness: count=40 entropy=39
01-07 03:30:34.113 I/wpa_supplicant( 1065): wlan0: CTRL-EVENT-STATE-CHANGE id=-1 state=2 BSSID=00:00:00:00:00:00
01-07 03:30:34.113 D/wpa_supplicant( 1065): wpa_state_to_wapi_state wpa_state : 2 change to wapi_state
01-07 03:30:34.113 D/wpa_supplicant( 1065): wpa_supplicant_set_state wapi_state : 2
01-07 03:30:34.113 I/dun_service(  123): process rmnet event
01-07 03:30:34.113 I/dun_service(  123): Post event 3
01-07 03:30:34.113 I/dun_service(  115): process rmnet event
01-07 03:30:34.113 I/dun_service(  115): Post event 3
01-07 03:30:34.113 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:30:34.113 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:30:34.113 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:30:34.113 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:30:34.113 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:30:34.113 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:30:34.113 I/dun_service(  115): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:30:34.113 I/dun_service(  115): Moved to state(DUN_STATE_IDLE)
01-07 03:30:34.113 D/wpa_supplicant( 1065): RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
01-07 03:30:34.113 D/wpa_supplicant( 1065): RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
01-07 03:30:34.113 E/wpa_supplicant( 1065): CMD: AP_SCAN 1
01-07 03:30:34.113 D/wpa_supplicant( 1065): REPLY: OK
01-07 03:30:34.113 V/WifiMonitor(  203): Event [CTRL-EVENT-STATE-CHANGE id=-1 state=2 BSSID=00:00:00:00:00:00]
01-07 03:30:34.113 V/WifiMonitor(  203): Event [CTRL-EVENT-STATE-CHANGE id=-1 state=2 BSSID=00:00:00:00:00:00]
01-07 03:30:34.113 V/WifiStateTracker(  203): handleMessage(): msg.what= 5
01-07 03:30:34.113 V/WifiStateTracker(  203): handleMessage(): msg.what= 3
01-07 03:30:34.113 V/WifiStateTracker(  203): Changing supplicant state: SCANNING ==> INACTIVE
01-07 03:30:34.113 D/NetworkStateTracker(  203): setDetailed state, old =SCANNING and new state=IDLE
01-07 03:30:34.123 I/WifiSettings(  712): There is not any configured AP
01-07 03:30:34.123 V/WifiStateTracker(  203): handleMessage(): msg.what= 3
01-07 03:30:34.123 V/WifiStateTracker(  203): Changing supplicant state: INACTIVE ==> INACTIVE
01-07 03:30:34.123 E/wpa_supplicant( 1065): CMD: SCAN_RESULTS
01-07 03:30:34.123 D/wpa_supplicant( 1065): REPLY: bssid / frequency / signal level / flags / ssid
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:04	2437	-67	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:02	2437	-68	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:30:34.123 D/wpa_supplicant( 1065): d8:b3:77:7d:ea:d4	2412	-78	[WPA2-PSK-CCMP]	fb
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:03	2437	-69	[WPA-PSK-TKIP]	
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:01	2437	-67	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:00	2437	-70	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:64	2412	-77	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:62	2412	-78	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:61	2412	-77	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:60	2412	-76	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:63	2412	-76	[WPA-PSK-TKIP]	
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:27:85:c0	2462	-97	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:14:78:e3:f4:3c	2437	-53	[WEP]		
01-07 03:30:34.123 D/wpa_supplicant( 1065): e0:05:c5:16:f0:08	2417	-79			
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:6a:01	2437	-91	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:6a:00	2437	-93	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.123 D/wpa_supplicant( 1065): 00:3a:98:1f:6a:02	2437	-92	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:30:34.123 D/ConnectivityService(  203): Dropping ConnectivityChange for WIFI: DISCONNECTED/IDLE
01-07 03:30:34.133 E/wpa_supplicant( 1065): CMD: SCAN_RESULTS
01-07 03:30:34.133 D/wpa_supplicant( 1065): REPLY: bssid / frequency / signal level / flags / ssid
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:04	2437	-67	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:02	2437	-68	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:30:34.133 D/wpa_supplicant( 1065): d8:b3:77:7d:ea:d4	2412	-78	[WPA2-PSK-CCMP]	fb
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:03	2437	-69	[WPA-PSK-TKIP]	
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:01	2437	-67	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:00	2437	-70	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:64	2412	-77	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:62	2412	-78	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:61	2412	-77	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:60	2412	-76	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:63	2412	-76	[WPA-PSK-TKIP]	
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:27:85:c0	2462	-97	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:14:78:e3:f4:3c	2437	-53	[WEP]		
01-07 03:30:34.133 D/wpa_supplicant( 1065): e0:05:c5:16:f0:08	2417	-79			
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:6a:01	2437	-91	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:6a:00	2437	-93	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:6a:02	2437	-92	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:30:34.133 E/wpa_supplicant( 1065): CMD: LIST_NETWORKS
01-07 03:30:34.133 D/wpa_supplicant( 1065): REPLY: network id / ssid / bssid / flags
01-07 03:30:34.133 E/wpa_supplicant( 1065): CMD: SCAN_RESULTS
01-07 03:30:34.133 D/wpa_supplicant( 1065): REPLY: bssid / frequency / signal level / flags / ssid
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:04	2437	-67	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:02	2437	-68	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:30:34.133 D/wpa_supplicant( 1065): d8:b3:77:7d:ea:d4	2412	-78	[WPA2-PSK-CCMP]	fb
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:03	2437	-69	[WPA-PSK-TKIP]	
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:01	2437	-67	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:00	2437	-70	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:64	2412	-77	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:62	2412	-78	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:61	2412	-77	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:60	2412	-76	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:63	2412	-76	[WPA-PSK-TKIP]	
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:27:85:c0	2462	-97	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:14:78:e3:f4:3c	2437	-53	[WEP]		
01-07 03:30:34.133 D/wpa_supplicant( 1065): e0:05:c5:16:f0:08	2417	-79			
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:6a:01	2437	-91	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:6a:00	2437	-93	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:30:34.133 D/wpa_supplicant( 1065): 00:3a:98:1f:6a:02	2437	-92	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:30:34.153 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:30:34.153 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:30:34.153 E/wpa_supplicant( 1065): CMD: STATUS
01-07 03:30:34.153 D/wpa_supplicant( 1065): REPLY: wpa_state=INACTIVE
01-07 03:30:34.153 D/wpa_supplicant( 1065): p2p_device_address=02:09:23:20:11:aa
01-07 03:30:34.153 D/wpa_supplicant( 1065): address=00:09:23:20:11:aa
01-07 03:30:34.153 E/wpa_supplicant( 1065): CMD: DRIVER RSSI-APPROX
01-07 03:30:34.153 E/wpa_supplicant( 1065): nl80211: issue private commands RSSI-APPROX
01-07 03:30:34.173 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:30:34.173 D/wpa_supplicant( 1065): REPLY:  rssi 0
01-07 03:30:34.173 E/wpa_supplicant( 1065): CMD: DRIVER LINKSPEED
01-07 03:30:34.173 E/wpa_supplicant( 1065): nl80211: issue private commands LINKSPEED
01-07 03:30:34.173 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:30:34.173 D/wpa_supplicant( 1065): REPLY: LinkSpeed 65
01-07 03:30:34.173 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:30:34.173 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:30:34.173 E/wpa_supplicant( 1065): CMD: STATUS
01-07 03:30:34.173 D/wpa_supplicant( 1065): REPLY: wpa_state=INACTIVE
01-07 03:30:34.173 D/wpa_supplicant( 1065): p2p_device_address=02:09:23:20:11:aa
01-07 03:30:34.173 D/wpa_supplicant( 1065): address=00:09:23:20:11:aa
01-07 03:30:34.173 E/wpa_supplicant( 1065): CMD: DRIVER RSSI-APPROX
01-07 03:30:34.173 E/wpa_supplicant( 1065): nl80211: issue private commands RSSI-APPROX
01-07 03:30:34.173 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:30:34.173 D/wpa_supplicant( 1065): REPLY:  rssi 0
01-07 03:30:34.173 E/wpa_supplicant( 1065): CMD: DRIVER LINKSPEED
01-07 03:30:34.173 E/wpa_supplicant( 1065): nl80211: issue private commands LINKSPEED
01-07 03:30:34.173 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:30:34.173 D/wpa_supplicant( 1065): REPLY: LinkSpeed 65
01-07 03:30:37.085 V/WifiStateTracker(  203): handleMessage(): msg.what= 14
01-07 03:30:37.085 V/WifiStateTracker(  203): handleMessage(): msg.what= 14
01-07 03:30:39.338 E/wpa_supplicant( 1065): CMD: DRIVER SCAN-ACTIVE
01-07 03:30:39.338 E/wpa_supplicant( 1065): nl80211: issue private commands SCAN-ACTIVE
01-07 03:30:39.338 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd SCAN-ACTIVE len = 0, 11
01-07 03:30:39.338 D/wpa_supplicant( 1065): REPLY: OK
01-07 03:30:39.348 E/wpa_supplicant( 1065): CMD: SCAN
01-07 03:30:39.348 D/wpa_supplicant( 1065): REPLY: OK
01-07 03:30:39.348 I/wpa_supplicant( 1065): wlan0: CTRL-EVENT-STATE-CHANGE id=-1 state=3 BSSID=00:00:00:00:00:00
01-07 03:30:39.348 D/wpa_supplicant( 1065): wpa_state_to_wapi_state wpa_state : 3 change to wapi_state
01-07 03:30:39.348 D/wpa_supplicant( 1065): wpa_supplicant_set_state wapi_state : 3
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS: Building WPS IE for Probe Request
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Version (hardcoded 0x10)
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Request Type
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Config Methods (2388)
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * UUID-E
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Primary Device Type
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * RF Bands (3)
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Association State
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Configuration Error (0)
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Device Password ID (0)
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Manufacturer
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Model Name
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Model Number
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Device Name
01-07 03:30:39.348 D/wpa_supplicant( 1065): WPS:  * Version2 (0x20)
01-07 03:30:39.348 D/wpa_supplicant( 1065): P2P: * P2P IE header
01-07 03:30:39.348 D/wpa_supplicant( 1065): P2P: * Capability dev=27 group=00
01-07 03:30:39.348 D/wpa_supplicant( 1065): P2P: * Listen Channel: Regulatory Class 81 Channel 6
01-07 03:30:39.348 D/wpa_supplicant( 1065): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:30:39.348 V/WifiMonitor(  203): Event [CTRL-EVENT-STATE-CHANGE id=-1 state=3 BSSID=00:00:00:00:00:00]
01-07 03:30:39.348 V/WifiMonitor(  203): Event [CTRL-EVENT-STATE-CHANGE id=-1 state=3 BSSID=00:00:00:00:00:00]
01-07 03:30:39.348 V/WifiStateTracker(  203): handleMessage(): msg.what= 3
01-07 03:30:39.348 V/WifiStateTracker(  203): Changing supplicant state: INACTIVE ==> SCANNING
01-07 03:30:39.448 D/wpa_supplicant( 1065): Scan requested (ret=0) - scan timeout 30 seconds
01-07 03:30:39.448 D/wpa_supplicant( 1065): nl80211: Event message available
01-07 03:30:39.448 D/wpa_supplicant( 1065): nl80211: Scan trigger
01-07 03:30:39.448 E/wpa_supplicant( 1065): CMD: DRIVER SCAN-PASSIVE
01-07 03:30:39.448 E/wpa_supplicant( 1065): nl80211: issue private commands SCAN-PASSIVE
01-07 03:30:39.448 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd SCAN-PASSIVE len = 0, 12
01-07 03:30:39.448 D/wpa_supplicant( 1065): REPLY: OK
01-07 03:30:39.448 D/NetworkStateTracker(  203): setDetailed state, old =IDLE and new state=SCANNING
01-07 03:30:39.448 V/WifiStateTracker(  203): handleMessage(): msg.what= 3
01-07 03:30:39.448 V/WifiStateTracker(  203): Changing supplicant state: SCANNING ==> SCANNING
01-07 03:30:39.448 D/ConnectivityService(  203): Dropping ConnectivityChange for WIFI: DISCONNECTED/SCANNING
01-07 03:30:39.468 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:30:39.468 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:30:39.468 E/wpa_supplicant( 1065): CMD: STATUS
01-07 03:30:39.468 D/wpa_supplicant( 1065): REPLY: wpa_state=SCANNING
01-07 03:30:39.468 D/wpa_supplicant( 1065): p2p_device_address=02:09:23:20:11:aa
01-07 03:30:39.468 D/wpa_supplicant( 1065): address=00:09:23:20:11:aa
01-07 03:30:39.478 E/wpa_supplicant( 1065): CMD: DRIVER RSSI-APPROX
01-07 03:30:39.478 E/wpa_supplicant( 1065): nl80211: issue private commands RSSI-APPROX
01-07 03:30:39.478 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:30:39.478 D/wpa_supplicant( 1065): REPLY:  rssi 0
01-07 03:30:39.478 E/wpa_supplicant( 1065): CMD: DRIVER LINKSPEED
01-07 03:30:39.478 E/wpa_supplicant( 1065): nl80211: issue private commands LINKSPEED
01-07 03:30:39.478 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:30:39.478 D/wpa_supplicant( 1065): REPLY: LinkSpeed 65
01-07 03:30:39.488 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:30:39.488 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:30:39.488 E/wpa_supplicant( 1065): CMD: STATUS
01-07 03:30:39.488 D/wpa_supplicant( 1065): REPLY: wpa_state=SCANNING
01-07 03:30:39.488 D/wpa_supplicant( 1065): p2p_device_address=02:09:23:20:11:aa
01-07 03:30:39.488 D/wpa_supplicant( 1065): address=00:09:23:20:11:aa
01-07 03:30:39.488 E/wpa_supplicant( 1065): CMD: DRIVER RSSI-APPROX
01-07 03:30:39.488 E/wpa_supplicant( 1065): nl80211: issue private commands RSSI-APPROX
01-07 03:30:39.488 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:30:39.488 D/wpa_supplicant( 1065): REPLY:  rssi 0
01-07 03:30:39.488 E/wpa_supplicant( 1065): CMD: DRIVER LINKSPEED
01-07 03:30:39.488 E/wpa_supplicant( 1065): nl80211: issue private commands LINKSPEED
01-07 03:30:39.488 E/wpa_supplicant( 1065): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:30:39.488 D/wpa_supplicant( 1065): REPLY: LinkSpeed 65
01-07 03:30:40.108 D/wpa_supplicant( 1065): nl80211: Event message available
01-07 03:30:40.108 D/wpa_supplicant( 1065): nl80211: New scan results available
01-07 03:30:40.108 D/wpa_supplicant( 1065): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:30:40.108 D/wpa_supplicant( 1065): Received scan results (16 BSSes)
01-07 03:30:40.108 D/wpa_supplicant( 1065): Add randomness: count=41 entropy=40
01-07 03:30:40.108 D/wpa_supplicant( 1065): Add randomness: count=42 entropy=41
01-07 03:30:40.108 D/wpa_supplicant( 1065): Add randomness: count=43 entropy=42
01-07 03:30:40.108 D/wpa_supplicant( 1065): Add randomness: count=44 entropy=43
01-07 03:30:40.108 D/wpa_supplicant( 1065): Add randomness: count=45 entropy=44
01-07 03:30:40.108 D/wpa_supplicant( 1065): Add randomness: count=46 entropy=45
01-07 03:30:40.108 D/wpa_supplicant( 1065): Add randomness: count=47 entropy=46
01-07 03:30:40.108 D/wpa_supplicant( 1065): Add randomness: count=48 entropy=47
01-07 03:30:40.108 D/wpa_supplicant( 1065): Add randomness: count=49 entropy=48
01-07 03:30:40.108 D/wpa_supplicant( 1065): Add randomness: count=50 entropy=49
01-07 03:30:40.108 I/wpa_supplicant( 1065): wlan0: CTRL-EVENT-STATE-CHANGE id=-1 state=2 BSSID=00:00:00:00:00:00
01-07 03:30:40.108 D/wpa_supplicant( 1065): wpa_state_to_wapi_state wpa_state : 2 change to wapi_state
01-07 03:30:40.108 D/wpa_supplicant( 1065): wpa_supplicant_set_state wapi_state : 2
01-07 03:30:40.108 V/WifiMonitor(  203): Event [CTRL-EVENT-BSS-REMOVED 11 00:3a:98:27:85:c0]
01-07 03:30:40.118 I/dun_service(  123): process rmnet event
01-07 03:30:40.118 I/dun_service(  123): Post event 3
01-07 03:30:40.118 I/dun_service(  115): process rmnet event
01-07 03:30:40.118 I/dun_service(  115): Post event 3
01-07 03:30:40.118 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:30:40.118 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:30:40.118 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:30:40.118 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:30:40.118 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:30:40.118 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:30:40.118 I/dun_service(  115): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:30:40.118 I/dun_service(  115): Moved to state(DUN_STATE_IDLE)
01-07 03:30:40.118 D/wpa_supplicant( 1065): RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
01-07 03:30:40.118 D/wpa_supplicant( 1065): RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
01-07 03:30:40.118 E/wpa_supplicant( 1065): CMD: AP_SCAN 1
01-07 03:30:40.118 D/wpa_supplicant( 1065): REPLY: OK
01-07 03:30:40.118 V/WifiMonitor(  203): Event [CTRL-EVENT-STATE-CHANGE id=-1 state=2 BSSID=00:00:00:00:00:00]
01-07 03:30:40.118 V/WifiMonitor(  203): Event [CTRL-EVENT-STATE-CHANGE id=-1 state=2 BSSID=00:00:00:00:00:00]
01-07 03:30:40.118 V/WifiStateTracker(  203): handleMessage(): msg.what= 5
01-07 03:30:40.118 V/WifiStateTracker(  203): handleMessage(): msg.what= 3
01-07 03:30:40.118 V/WifiStateTracker(  203): Changing supplicant state: SCANNING ==> INACTIVE
01-07 03:30:40.118 D/NetworkStateTracker(  203): setDetailed state, old =SCANNING and new state=IDLE
01-07 03:30:40.118 V/WifiStateTracker(  203): handleMessage(): msg.what= 3
01-07 03:30:40.118 V/WifiStateTracker(  203): Changing supplicant state: INACTIVE ==> INACTIVE
01-07 03:30:40.118 D/ConnectivityService(  203): Dropping ConnectivityChange for WIFI: DISCONNECTED/IDLE
01-07 03:30:40.128 I/WifiSettings(  712): There is not any configured AP
01-07 03:30:40.128 E/wpa_supplicant( 1065): CMD: SCAN_RESULTS
01-07 03:30:40.128 D/wpa_supplicant( 1065): REPLY: bssid / frequency / signal level / flags / ssid
01-07 03:30:40.128 D/wpa_supplicant( 1065): 00:3a:98:1f:5f:04	2437	-67	[WPA2-PSK-CCMP]	PHONE-WIFI2
